precinct	district	avgage	perown	black	white	hispanic	total	dem	rep	novote
1	4	55.72613923	0.654126228	130	424	1	555	112	225	218
2	1	49.01321173	0.155857096	195	189	220	604	259	144	201
3	3	52.01340608	0.648157952	5	798	0	803	38	572	193
4	2	54.50052277	0.356485209	258	437	0	695	153	202	340
5	4	57.49213365	0.869503237	21	820	0	841	90	402	349
6	3	50.03601858	0.790542525	11	857	0	868	134	252	482
7	3	54.92669152	0.652053071	4	791	0	795	120	201	474
8	4	54.03391036	0.823212547	72	627	0	699	68	358	273
9	2	55.01734937	0.20633541	226	333	1	560	173	51	336
10	3	54.87506057	0.921517605	11	654	1	666	141	84	441
11	3	51.95263944	0.708995641	3	519	0	522	52	313	157
12	3	53.69215202	0.710196707	18	813	2	833	39	506	288
13	4	53.67110172	0.498910923	29	488	6	523	129	144	250
14	3	55.85629634	0.394279676	6	588	0	594	109	174	311
15	4	55.96913315	0.815996	5	571	1	577	47	201	329
16	2	38.85827633	0.184986082	476	68	10	554	136	64	354
17	3	53.86856824	0.647534929	130	617	0	747	94	273	380
18	2	52.97679555	0.466848791	277	331	0	608	96	232	280
19	1	35.91684366	0.015080225	520	24	26	570	129	47	394
20	2	50.36410865	0.298777447	469	327	6	802	271	89	442
21	3	54.68998391	0.804813104	10	749	0	759	36	428	295
22	1	46.00925258	0.52628231	428	138	0	566	211	56	299
23	1	41.90805647	0.062469058	555	134	174	863	266	69	528
24	1	48.87955017	0.256609982	350	191	3	544	122	103	319
25	3	56.09264798	0.652370092	126	406	26	558	95	224	239
26	1	38.71209643	0.416630466	542	83	72	697	249	56	392
27	2	35.8082188	0.037759746	589	29	0	618	310	53	255
28	3	52.97036825	0.335580495	121	431	27	579	95	247	237
29	4	53.78982596	0.959418408	211	269	0	480	62	147	271
30	4	61.64158732	0.357464405	120	798	6	924	57	506	361
31	2	40.36396751	0.409028146	457	77	0	534	163	36	335
32	2	46.93149205	0.415710675	392	229	192	813	242	80	491
33	1	48.93705899	0.211590775	523	263	0	786	309	108	369
34	4	53.15279977	0.512869615	2	738	0	740	302	190	248
35	2	50.42803255	0.671973293	283	271	0	554	80	180	294
36	4	53.71472048	0.965508962	6	869	0	875	63	296	516
